# FULLY FILE-LESS REJECTED ROWS — reference only, NOT acted on (2026-07-21 21:25:55 local)
# These rejected rows have neither original nor thumbnail on disk.
# Original was deleted by design at rejection (scan.py:360); thumbnail also gone.
# Row deletion is a POLICY decision, explicitly OUT of scope. This list is for the record only.
# count=1229
# id	source	review	ident	category	species	never_reject
19857	file_upload	rejected	not_plant	plant	-	0
19858	file_upload	rejected	not_plant	plant	-	0
19859	file_upload	rejected	not_plant	plant	-	0
19860	file_upload	rejected	not_plant	plant	-	0
19861	file_upload	rejected	not_plant	plant	-	0
19862	file_upload	rejected	not_plant	plant	-	0
19863	file_upload	rejected	not_plant	plant	-	0
19864	file_upload	rejected	not_plant	plant	-	0
19865	file_upload	rejected	not_plant	plant	-	0
19866	file_upload	rejected	not_plant	plant	-	0
19867	file_upload	rejected	not_plant	plant	-	0
19868	file_upload	rejected	not_plant	plant	-	0
19869	file_upload	rejected	not_plant	plant	-	0
19870	file_upload	rejected	not_plant	plant	-	0
19871	file_upload	rejected	not_plant	plant	-	0
19872	file_upload	rejected	not_plant	plant	-	0
19873	file_upload	rejected	not_plant	plant	-	0
19874	file_upload	rejected	not_plant	plant	-	0
19875	file_upload	rejected	not_plant	plant	-	0
19876	file_upload	rejected	not_plant	plant	-	0
19877	file_upload	rejected	not_plant	plant	-	0
19878	file_upload	rejected	not_plant	plant	-	0
19880	file_upload	rejected	not_plant	plant	-	0
19881	file_upload	rejected	not_plant	plant	-	0
19882	file_upload	rejected	not_plant	plant	-	0
19883	file_upload	rejected	not_plant	plant	-	0
19885	file_upload	rejected	not_plant	plant	-	0
19886	file_upload	rejected	not_plant	plant	-	0
19887	file_upload	rejected	not_plant	plant	-	0
19888	file_upload	rejected	not_plant	plant	-	0
19889	file_upload	rejected	not_plant	plant	-	0
19890	file_upload	rejected	not_plant	plant	-	0
19891	file_upload	rejected	not_plant	plant	-	0
19892	file_upload	rejected	not_plant	plant	-	0
19893	file_upload	rejected	not_plant	plant	-	0
19894	file_upload	rejected	not_plant	plant	-	0
19895	file_upload	rejected	not_plant	plant	-	0
19896	file_upload	rejected	not_plant	plant	-	0
19897	file_upload	rejected	not_plant	plant	-	0
19900	file_upload	rejected	not_plant	plant	-	0
19901	file_upload	rejected	not_plant	plant	-	0
19902	file_upload	rejected	not_plant	plant	-	0
19903	file_upload	rejected	not_plant	plant	-	0
19904	file_upload	rejected	not_plant	plant	-	0
19905	file_upload	rejected	not_plant	plant	-	0
19906	file_upload	rejected	not_plant	plant	-	0
19907	file_upload	rejected	not_plant	plant	-	0
19908	file_upload	rejected	not_plant	plant	-	0
19909	file_upload	rejected	not_plant	plant	-	0
19910	file_upload	rejected	not_plant	plant	-	0
19911	file_upload	rejected	not_plant	plant	-	0
19912	file_upload	rejected	not_plant	plant	-	0
19913	file_upload	rejected	not_plant	plant	-	0
19914	file_upload	rejected	not_plant	plant	-	0
19915	file_upload	rejected	not_plant	plant	-	0
19917	file_upload	rejected	not_plant	plant	-	0
19919	file_upload	rejected	not_plant	plant	-	0
19920	file_upload	rejected	not_plant	plant	-	0
19921	file_upload	rejected	not_plant	plant	-	0
19922	file_upload	rejected	not_plant	plant	-	0
19923	file_upload	rejected	not_plant	plant	-	0
19924	file_upload	rejected	not_plant	plant	-	0
19925	file_upload	rejected	not_plant	plant	-	0
19926	file_upload	rejected	not_plant	plant	-	0
19927	file_upload	rejected	not_plant	plant	-	0
19928	file_upload	rejected	not_plant	plant	-	0
19929	file_upload	rejected	not_plant	plant	-	0
19930	file_upload	rejected	not_plant	plant	-	0
19931	file_upload	rejected	not_plant	plant	-	0
19932	file_upload	rejected	not_plant	plant	-	0
19933	file_upload	rejected	not_plant	plant	-	0
19934	file_upload	rejected	not_plant	plant	-	0
19935	file_upload	rejected	not_plant	plant	-	0
19936	file_upload	rejected	not_plant	plant	-	0
19939	file_upload	rejected	not_plant	plant	-	0
